"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1611.99198323309
"FDW14","OUT017",1468.79218237437
"NCN55","OUT010",913.296242301157
"FDQ58","OUT017",2333.6369278218
"FDY38","OUT027",5821.53896217747
"FDH56","OUT046",1918.01438088743
"FDL48","OUT018",678.522776167809
"FDC48","OUT027",2552.84127596148
"FDN33","OUT045",1438.52735526796
"FDA36","OUT017",2955.53077176288
"FDT44","OUT017",1898.30073623706
"FDQ56","OUT045",1391.19713232363
"NCC54","OUT019",662.220250046987
"FDU11","OUT049",1971.89319695971
"DRL59","OUT013",770.063289088087
"FDM24","OUT049",2515.06658259679
"FDI57","OUT045",2749.22306171352
"DRC12","OUT018",2898.47678541586
"NCM42","OUT027",2688.48211607304
"FDA46","OUT010",499.88243646763
"FDA31","OUT013",3062.59311736214
"NCJ31","OUT035",3838.80218920986
"FDG52","OUT046",775.551116736702
"NCL19","OUT019",405.848187412926
"FDS10","OUT035",3250.33478745913
"FDX22","OUT010",731.748128692147
"NCF19","OUT035",750.046031131682
"NCE06","OUT046",2426.39428761678
"DRC27","OUT046",3768.4326868927
"FDE21","OUT035",1998.03890858341
"NCR42","OUT019",123.053612038938
"FDX51","OUT018",2661.27987491743
"NCR06","OUT018",613.609866246787
"FDU31","OUT027",5749.65394246212
"FDU59","OUT017",2261.72575912651
"FDR03","OUT027",5726.81340964066
"FDS49","OUT027",2680.03481382243
"FDD48","OUT010",302.896201353001
"NCF18","OUT017",2843.2051655817
"NCD43","OUT027",2715.31696164846
"NCD54","OUT018",1890.71978864739
"FDY19","OUT010",346.094655224139
"NCY54","OUT017",2543.36522869704
"NCL19","OUT018",2181.23610831478
"FDP23","OUT010",761.736701590397
"FDC26","OUT013",1913.19597009411
"FDR14","OUT010",197.73198267525
"NCS41","OUT035",3159.57474276939
"FDF41","OUT035",3894.53481656536
"FDU34","OUT046",2036.57417369113
"DRH11","OUT046",1042.54768934362
"FDM03","OUT013",1730.15576904492
"FDS31","OUT017",3161.80525096956
"FDJ20","OUT017",2040.58699735047
"FDV44","OUT027",5015.79702428425
"FDG02","OUT049",3011.97073200255
"FDA09","OUT013",3326.46834277716
"FDT04","OUT013",644.818398495328
"FDL58","OUT019",604.28795713067
"FDE52","OUT045",1454.99054889463
"FDW12","OUT035",2659.41363919314
"FDL51","OUT017",3913.9822761207
"NCY42","OUT027",3470.51095771969
"FDR07","OUT017",1499.56115650204
"FDN40","OUT045",2228.53541764776
"FDB35","OUT027",2561.3090135039
"FDA22","OUT017",2433.71392403675
"NCL06","OUT046",3783.92285444902
"FDI35","OUT013",3404.15655669933
"NCW42","OUT045",3299.35087638848
"NCX06","OUT049",3356.75312189881
"FDC37","OUT027",2765.58852667565
"FDZ14","OUT018",1634.44617272539
"DRG49","OUT049",4443.93785481762
"NCG06","OUT045",3709.71829715826
"DRC36","OUT045",2951.22459894282
"FDV21","OUT019",352.267379365538
"FDB53","OUT046",2796.36262016372
"DRP47","OUT019",592.734610917724
"FDA14","OUT013",2467.26334705269
"DRC24","OUT035",2619.26466582696
"FDW21","OUT018",1510.20160319046
"NCH29","OUT046",1881.40542264245
"FDU58","OUT013",3028.06751356476
"FDY27","OUT017",2553.20792728257
"FDV56","OUT035",1848.22734234891
"FDT59","OUT046",3735.21870021111
"FDB23","OUT046",3527.4270147604
"FDR49","OUT045",756.529556163302
"FDB03","OUT010",665.038972223067
"FDN39","OUT045",2622.43518172291
"FDX02","OUT027",5763.4258934134
"FDQ16","OUT027",2794.19913985674
"FDU35","OUT018",1428.56498082279
"NCT29","OUT013",1867.88226069333
"FDZ27","OUT046",903.514940013498
"FDN57","OUT017",2212.14710257057
"FDA03","OUT018",2082.25906923668
"FDZ36","OUT045",3050.75083060162
"NCU05","OUT013",1343.92813979908
"FDT39","OUT018",2378.58748520452
"FDK60","OUT017",1600.3372208844
"FDZ25","OUT017",2934.73286952731
"FDG12","OUT046",2217.00079650027
"DRB01","OUT019",459.422542339603
"NCC43","OUT027",5880.64387638395
"FDX13","OUT019",541.345196462512
"FDM22","OUT049",852.580898842365
"FDJ03","OUT027",1676.83176152866
"FDU14","OUT018",3358.05656978913
"FDB33","OUT010",511.347665197788
"FDP27","OUT046",3229.12021913892
"FDO38","OUT010",267.204213266954
"FDE28","OUT027",5853.76261135274
"FDO27","OUT035",1682.22475293474
"DRL23","OUT027",2667.95773803612
"FDS28","OUT046",971.980185809482
"FDX24","OUT013",1258.85418215252
"FDZ02","OUT035",1599.75352235321
"FDL46","OUT045",1624.19258915133
"FDS60","OUT027",4628.77553865911
"NCO06","OUT017",662.470479996256
"FDO16","OUT035",1651.82106626906
"FDC60","OUT049",1488.65679124972
"FDA48","OUT018",3496.45706846076
"FDZ36","OUT027",4645.9701279424
"FDK27","OUT045",1845.5853580434
"FDW23","OUT018",651.855992846183
"FDM14","OUT018",1467.9624657892
"FDM14","OUT013",1695.37442549464
"FDW60","OUT018",2578.8952746265
"FDE21","OUT013",1929.3531940818
"NCM42","OUT035",2021.70907603303
"FDY59","OUT010",243.946672089686
"DRI49","OUT049",1353.21986896686
"FDT28","OUT019",345.018922119312
"FDQ22","OUT018",564.305932809779
"FDR60","OUT049",1184.65040062225
"FDC50","OUT019",262.875596753149
"FDV24","OUT013",2511.33248285459
"DRF48","OUT010",545.500923270413
"FDQ47","OUT046",833.611531869336
"DRN36","OUT049",1636.93215691584
"NCY06","OUT035",2109.55685168311
"FDE52","OUT035",1523.88249480673
"NCB54","OUT045",1707.35391659831
"NCF31","OUT035",2553.46467451004
"FDJ08","OUT027",5207.80272058422
"NCC07","OUT017",1651.74632220738
"NCD19","OUT027",1833.24233711152
