"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1554.09924316406
"FDW14","OUT017",1383.66430664062
"NCN55","OUT010",841.359680175781
"FDQ58","OUT017",2424.24560546875
"FDY38","OUT027",5977.38671875
"FDH56","OUT046",1853.27746582031
"FDL48","OUT018",641.662170410156
"FDC48","OUT027",2294.56982421875
"FDN33","OUT045",1476.48742675781
"FDA36","OUT017",2964.04443359375
"FDT44","OUT017",1863.73071289062
"FDQ56","OUT045",1415.01794433594
"NCC54","OUT019",772.828674316406
"FDU11","OUT049",2055.40307617188
"DRL59","OUT013",771.036499023438
"FDM24","OUT049",2426.4873046875
"FDI57","OUT045",2897.7587890625
"DRC12","OUT018",2665.17846679688
"NCM42","OUT027",2656.69604492188
"FDA46","OUT010",467.090789794922
"FDA31","OUT013",2781.83862304688
"NCJ31","OUT035",3781.51391601562
"FDG52","OUT046",765.3994140625
"NCL19","OUT019",429.357940673828
"FDS10","OUT035",3028.61499023438
"FDX22","OUT010",900.68017578125
"NCF19","OUT035",799.544189453125
"NCE06","OUT046",2438.44702148438
"DRC27","OUT046",3712.82543945312
"FDE21","OUT035",2046.24304199219
"NCR42","OUT019",6.00290584564209
"FDX51","OUT018",2721.64404296875
"NCR06","OUT018",517.969543457031
"FDU31","OUT027",5546.60546875
"FDU59","OUT017",2374.7421875
"FDR03","OUT027",5118.6826171875
"FDS49","OUT027",2460.42114257812
"FDD48","OUT010",436.241027832031
"NCF18","OUT017",2994.31591796875
"NCD43","OUT027",2550.982421875
"NCD54","OUT018",1806.55541992188
"FDY19","OUT010",437.833892822266
"NCY54","OUT017",2576.4609375
"NCL19","OUT018",2099.64575195312
"FDP23","OUT010",846.601440429688
"FDC26","OUT013",1716.34057617188
"FDR14","OUT010",143.144088745117
"NCS41","OUT035",3062.62890625
"FDF41","OUT035",3730.16259765625
"FDU34","OUT046",1982.00146484375
"DRH11","OUT046",1070.19921875
"FDM03","OUT013",1728.95556640625
"FDS31","OUT017",3046.505859375
"FDJ20","OUT017",1887.17761230469
"FDV44","OUT027",5101.70849609375
"FDG02","OUT049",3000.80517578125
"FDA09","OUT013",3039.03271484375
"FDT04","OUT013",639.495544433594
"FDL58","OUT019",722.117065429688
"FDE52","OUT045",1424.25524902344
"FDW12","OUT035",2570.41723632812
"FDL51","OUT017",3563.22436523438
"NCY42","OUT027",3225.98461914062
"FDR07","OUT017",1506.71704101562
"FDN40","OUT045",2247.07592773438
"FDB35","OUT027",2452.92211914062
"FDA22","OUT017",2540.46752929688
"NCL06","OUT046",3931.49438476562
"FDI35","OUT013",3125.1787109375
"NCW42","OUT045",3584.0458984375
"NCX06","OUT049",2987.87768554688
"FDC37","OUT027",2692.17260742188
"FDZ14","OUT018",1705.74694824219
"DRG49","OUT049",4106.12548828125
"NCG06","OUT045",3815.03564453125
"DRC36","OUT045",2783.85034179688
"FDV21","OUT019",326.906219482422
"FDB53","OUT046",2549.60107421875
"DRP47","OUT019",627.245361328125
"FDA14","OUT013",2402.05932617188
"DRC24","OUT035",2555.27075195312
"FDW21","OUT018",1507.19348144531
"NCH29","OUT046",1672.42260742188
"FDU58","OUT013",2940.48217773438
"FDY27","OUT017",2793.73657226562
"FDV56","OUT035",1762.27722167969
"FDT59","OUT046",3812.0234375
